market,rule,test,hit,rate,profit,avg_jodi
Andhra Day,Existing Hybrid,30,18,60.0,5090,43.03333333333333
Andhra Day,New PrevWeek+PrevDayClose,30,13,43.333333333333336,400,42.0
Andhra Day,PrevDayJodi Skip,30,12,40.0,-600,42.0
Andhra Day,Overall 3-Week,30,14,46.666666666666664,1200,42.666666666666664
Andhra Day,Last3 Unique,30,13,43.333333333333336,400,42.0
Andhra Morning,Existing Hybrid,30,17,56.666666666666664,4270,42.43333333333333
Andhra Morning,New PrevWeek+PrevDayClose,30,15,50.0,2400,42.0
Andhra Morning,PrevDayJodi Skip,30,11,36.666666666666664,-1600,42.0
Andhra Morning,Overall 3-Week,30,15,50.0,2270,42.43333333333333
Andhra Morning,Last3 Unique,30,13,43.333333333333336,400,42.0
Andhra Night,Existing Hybrid,30,16,53.333333333333336,3040,43.2
Andhra Night,New PrevWeek+PrevDayClose,30,15,50.0,2400,42.0
Andhra Night,PrevDayJodi Skip,30,14,46.666666666666664,1400,42.0
Andhra Night,Overall 3-Week,30,16,53.333333333333336,3200,42.666666666666664
Andhra Night,Last3 Unique,30,17,56.666666666666664,4400,42.0
Kalyan,Existing Hybrid,0,0,0,0,0
Kalyan,New PrevWeek+PrevDayClose,0,0,0,0,0
Kalyan,PrevDayJodi Skip,0,0,0,0,0
Kalyan,Overall 3-Week,0,0,0,0,0
Kalyan,Last3 Unique,0,0,0,0,0
Kalyan Night,Existing Hybrid,0,0,0,0,0
Kalyan Night,New PrevWeek+PrevDayClose,0,0,0,0,0
Kalyan Night,PrevDayJodi Skip,0,0,0,0,0
Kalyan Night,Overall 3-Week,0,0,0,0,0
Kalyan Night,Last3 Unique,0,0,0,0,0
Karnataka Day,Existing Hybrid,0,0,0,0,0
Karnataka Day,New PrevWeek+PrevDayClose,30,11,36.666666666666664,-1600,42.0
Karnataka Day,PrevDayJodi Skip,30,10,33.33333333333333,-2600,42.0
Karnataka Day,Overall 3-Week,30,11,36.666666666666664,-1730,42.43333333333333
Karnataka Day,Last3 Unique,30,12,40.0,-600,42.0
Madhur Day,Existing Hybrid,30,16,53.333333333333336,3400,42.0
Madhur Day,New PrevWeek+PrevDayClose,30,15,50.0,2400,42.0
Madhur Day,PrevDayJodi Skip,30,17,56.666666666666664,4400,42.0
Madhur Day,Overall 3-Week,30,13,43.333333333333336,220,42.6
Madhur Day,Last3 Unique,30,15,50.0,2400,42.0
Madhur Night,Existing Hybrid,0,0,0,0,0
Madhur Night,New PrevWeek+PrevDayClose,0,0,0,0,0
Madhur Night,PrevDayJodi Skip,0,0,0,0,0
Madhur Night,Overall 3-Week,0,0,0,0,0
Madhur Night,Last3 Unique,0,0,0,0,0
MAHADEVI Morning,Existing Hybrid,30,19,63.33333333333333,5500,45.0
MAHADEVI Morning,New PrevWeek+PrevDayClose,30,15,50.0,2400,42.0
MAHADEVI Morning,PrevDayJodi Skip,30,13,43.333333333333336,400,42.0
MAHADEVI Morning,Overall 3-Week,30,17,56.666666666666664,4210,42.63333333333333
MAHADEVI Morning,Last3 Unique,30,16,53.333333333333336,3400,42.0
MAHADEVI Night,Existing Hybrid,0,0,0,0,0
MAHADEVI Night,New PrevWeek+PrevDayClose,30,13,43.333333333333336,400,42.0
MAHADEVI Night,PrevDayJodi Skip,30,13,43.333333333333336,400,42.0
MAHADEVI Night,Overall 3-Week,30,14,46.666666666666664,1180,42.733333333333334
MAHADEVI Night,Last3 Unique,30,14,46.666666666666664,1400,42.0
MAHADEVI,Existing Hybrid,30,16,53.333333333333336,3260,42.46666666666667
MAHADEVI,New PrevWeek+PrevDayClose,30,13,43.333333333333336,400,42.0
MAHADEVI,PrevDayJodi Skip,30,12,40.0,-600,42.0
MAHADEVI,Overall 3-Week,30,12,40.0,-760,42.53333333333333
MAHADEVI,Last3 Unique,30,10,33.33333333333333,-2600,42.0
Main Bazar,Existing Hybrid,0,0,0,0,0
